[2026-02-28--19-25-00 INFO actix_server::builder] starting 5 workers
[2026-02-28--19-25-00 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-02-28--19-25-00 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-02-28--19-25-01 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-02-28--19-25-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51616.
[2026-02-28--19-26-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51630.
[2026-02-28--19-26-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49812.
[2026-02-28--19-26-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49826.
[2026-02-28--19-26-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49836.
[2026-02-28--19-26-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49846.
[2026-02-28--19-26-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49850.
[2026-02-28--19-26-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49856.
[2026-02-28--19-26-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49862.
[2026-02-28--19-26-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56920.
[2026-02-28--19-26-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56924.
[2026-02-28--19-26-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56938.
[2026-02-28--19-26-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56954.
[2026-02-28--19-26-22 ERROR surfpool_core::rpc::ws] Failed to get sink for subscription ID
[2026-02-28--19-26-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56956.
[2026-02-28--19-26-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56960.
[2026-02-28--19-26-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35682.
[2026-02-28--19-26-29 ERROR surfpool_core::rpc::ws] Failed to get sink for subscription ID
[2026-02-28--19-26-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35698.
[2026-02-28--19-26-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35712.
[2026-02-28--19-26-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35726.
[2026-02-28--19-26-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35732.
[2026-02-28--19-26-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43478.
[2026-02-28--19-26-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43492.
[2026-02-28--19-26-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43502.
[2026-02-28--19-26-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43518.
[2026-02-28--19-26-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42264.
[2026-02-28--19-26-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42276.
[2026-02-28--19-26-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42278.
[2026-02-28--19-33-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41018.
[2026-02-28--19-33-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60828.
[2026-02-28--19-33-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60844.
[2026-02-28--19-33-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60846.
